Word,Label_BIO,Sentence_Id
HỢP_ĐỒNG,O,0
CUNG_CẤP,O,0
DỊCH_VỤ,O,0
Số,O,1
:,O,1
2025,O,1
/,O,1
HĐDV-023,O,1
Căn_cứ,O,3
Bộ_luật,B-LAW,3
Dân_sự,I-LAW,3
năm,I-LAW,3
2015,I-LAW,3
;,O,3
Căn_cứ,O,4
Luật,B-LAW,4
Thương_mại,I-LAW,4
năm,I-LAW,4
2005,I-LAW,4
;,O,4
Hôm_nay,O,6
",",O,6
ngày,B-DATE,6
05,I-DATE,6
tháng,I-DATE,6
12,I-DATE,6
năm,I-DATE,6
2025,I-DATE,6
",",O,6
tại,O,6
TP.,O,6
Hồ_Chí_Minh,O,6
",",O,6
chúng_tôi,O,6
gồm,O,6
:,O,6
BÊN,B-PARTY,8
CUNG_CẤP,I-PARTY,8
DỊCH_VỤ,I-PARTY,8
(,O,8
BÊN,B-PARTY,8
A,I-PARTY,8
),O,8
:,O,8
Công_ty,B-PARTY,9
TNHH,I-PARTY,9
Giải_Pháp,I-PARTY,9
Số_Thành,I-PARTY,9
Công,I-PARTY,9
Địa_chỉ,O,10
:,O,10
567,O,10
Cách_Mạng_Tháng_Tám,O,10
",",O,10
Quận,O,10
10,O,10
",",O,10
TP.,O,10
Hồ_Chí_Minh,O,10
Mã_số,O,11
thuế,O,11
:,O,11
0315678901,O,11
Đại_diện,O,12
:,O,12
Ông,B-PARTY,12
Đặng_Quốc_Bảo,I-PARTY,12
-,O,12
Chức_vụ,O,12
:,O,12
Giám_đốc,O,12
BÊN,B-PARTY,14
SỬ_DỤNG,I-PARTY,14
DỊCH_VỤ,I-PARTY,14
(,O,14
BÊN,B-PARTY,14
B,I-PARTY,14
),O,14
:,O,14
Bệnh_viện,B-PARTY,15
Đa_khoa,I-PARTY,15
Quốc_tế,I-PARTY,15
Việt_Pháp,I-PARTY,15
Địa_chỉ,O,16
:,O,16
890,O,16
Nguyễn_Tri_Phương,O,16
",",O,16
Quận,O,16
5,O,16
",",O,16
TP.,O,16
Hồ_Chí_Minh,O,16
Mã_số,O,17
thuế,O,17
:,O,17
0311223344,O,17
Đại_diện,O,18
:,O,18
Bà,B-PARTY,18
Ngô_Thị_Hồng_Nhung,I-PARTY,18
-,O,18
Chức_vụ,O,18
:,O,18
Giám_đốc,O,18
Hành_chính,O,18
ĐIỀU,O,20
1,O,20
:,O,20
NỘI_DUNG,O,20
DỊCH_VỤ,O,20
1.1,O,21
.,O,21
Bên,B-PARTY,21
A,I-PARTY,21
cung_cấp,O,21
dịch_vụ,O,21
phát_triển,O,21
Hệ_thống,O,21
Quản_lý,O,21
Bệnh_viện,B-PARTY,21
Điện_tử,I-PARTY,21
(,O,21
HIS,O,21
),O,21
phiên_bản,O,21
3.0,O,21
.,O,21
1.2,O,22
.,O,22
Phạm_vi,O,22
:,O,22
